Area,Baths,Bedrooms,Location,Price,Purpose,Type
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4 Crore",For Sale,House
250 Sq. Yd.,6,5,"Jamshed Town, Karachi, Sindh","PKR,11 Crore",For Sale,House
120 Sq. Yd.,6,7,"North Karachi, Karachi, Sindh","PKR,2.31 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.37 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.33 Crore",For Sale,House
100 Sq. Yd.,,2,,"PKR,80 Lakh,PKR,12 Lakh,PKR,2 Lakh","Malir, Karachi, Sindh",House
400 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,6.95 Crore",For Sale,House
160 Sq. Yd.,5,4,"North Karachi, Karachi, Sindh","PKR,3.49 Crore",For Sale,House
300 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
500 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,9 Crore",For Sale,House
"1,000 Sq. Yd.",8,7,"DHA Defence, Karachi, Sindh","PKR,23 Crore",For Sale,House
300 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,11.5 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.7 Crore",For Sale,House
375 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,40 Crore",For Sale,House
250 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,1.95 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,3.85 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.9 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,45 Crore",For Sale,House
"2,000 Sq. Yd.",7,7,"DHA Defence, Karachi, Sindh","PKR,49 Crore",For Sale,House
100 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,3.7 Crore",For Sale,House
240 Sq. Yd.,6,5,"Gadap Town, Karachi, Sindh","PKR,3.7 Crore",For Sale,House
100 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,4.05 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,3.45 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,10.75 Crore",For Sale,House
